spec	Fold_0
nist_1057431	train
nist_1057443	train
nist_1057453	train
nist_1057459	train
nist_1057478	train
nist_1057481	train
nist_1057483	train
nist_1057504	train
nist_1057530	train
nist_1057543	train
nist_1057578	train
nist_1057588	train
nist_1057594	train
nist_1057602	train
nist_1057617	train
nist_1057641	train
nist_1057666	train
nist_1057680	train
nist_1057706	train
nist_1057720	train
nist_1057769	train
nist_1057780	train
nist_1057807	train
nist_1057835	train
nist_1057859	train
nist_1057873	train
nist_1057879	train
nist_1057917	train
nist_1058006	train
nist_1058020	train
nist_1058031	train
nist_1058045	train
nist_1058068	train
nist_1058095	train
nist_1058122	train
nist_1058146	train
nist_1058171	train
nist_1058186	train
nist_1058190	train
nist_1058210	train
nist_1058225	train
nist_1058237	train
nist_1058250	train
nist_1058272	train
nist_1058282	train
nist_1058296	train
nist_1058318	train
nist_1058328	train
nist_1058340	train
nist_1058363	train
nist_1058377	train
nist_1058398	train
nist_1058412	train
nist_1058426	train
nist_1058467	train
nist_1058480	train
nist_1058494	train
nist_1058508	train
nist_1058522	train
nist_1058536	val
nist_1058550	train
nist_1058566	train
nist_1058574	train
nist_1058587	train
nist_1058600	train
nist_1058603	train
nist_1058629	train
nist_1058645	train
nist_1058674	train
nist_1058695	train
nist_1058710	train
nist_1058740	val
nist_1058756	train
nist_1058772	train
nist_1058782	train
nist_1058802	train
nist_1058817	train
nist_1058833	train
nist_1058859	train
nist_1058879	train
nist_1058881	train
nist_1058891	train
nist_1058907	train
nist_1058957	train
nist_1058997	train
nist_1059013	train
nist_1059025	train
nist_1059048	train
nist_1059052	train
nist_1059081	train
nist_1059096	train
nist_1059111	train
nist_1059127	train
nist_1059142	train
nist_1059168	train
nist_1059187	train
nist_1059222	train
nist_1059245	train
nist_1059261	train
nist_1059277	train
nist_1059292	train
nist_1059323	train
nist_1059352	train
nist_1059368	train
nist_1059383	train
nist_1059398	train
nist_1059422	train
nist_1059437	train
nist_1059459	train
nist_1059464	train
nist_1059480	train
nist_1059495	train
nist_1059509	train
nist_1059524	train
nist_1059555	train
nist_1059567	train
nist_1059594	train
nist_1059624	train
nist_1059640	train
nist_1059653	train
nist_1059684	train
nist_1059713	train
nist_1059715	val
nist_1059730	train
nist_1059731	train
nist_1059746	train
nist_1059754	train
nist_1059783	train
nist_1059798	train
nist_1059812	train
nist_1059827	train
nist_1059842	train
nist_1059862	train
nist_1059878	train
nist_1059894	train
nist_1059910	train
nist_1059924	train
nist_1059939	train
nist_1059947	train
nist_1059963	val
nist_1059976	train
nist_1059986	train
nist_1060001	train
nist_1060015	train
nist_1060023	train
nist_1060035	train
nist_1060048	train
nist_1060063	train
nist_1060073	train
nist_1060088	train
nist_1060099	train
nist_1060115	train
nist_1060127	train
nist_1060142	train
nist_1060155	train
nist_1060168	train
nist_1060170	train
nist_1060178	train
nist_1060209	train
nist_1060226	train
nist_1060250	train
nist_1060257	train
nist_1060276	train
nist_1060286	train
nist_1060302	test
nist_1060321	val
nist_1060363	train
nist_1060379	val
nist_1060406	train
nist_1060437	train
nist_1060445	train
nist_1060461	train
nist_1060477	train
nist_1060493	train
nist_1060509	train
nist_1060525	train
nist_1060540	train
nist_1060556	val
nist_1060586	train
nist_1060588	train
nist_1060603	train
nist_1060619	val
nist_1060635	val
nist_1060661	train
nist_1060677	test
nist_1060725	train
nist_1060740	train
nist_1060756	train
nist_1060772	train
nist_1060788	train
nist_1060804	train
nist_1060820	train
nist_1060838	train
nist_1060851	train
nist_1060863	train
nist_1060882	train
nist_1060914	train
nist_1060930	train
nist_1060961	test
nist_1060971	train
nist_1061001	train
nist_1061003	train
nist_1061033	train
nist_1061048	train
nist_1061096	train
nist_1061111	train
nist_1061126	train
nist_1061140	train
nist_1061156	train
nist_1061171	train
nist_1061186	train
nist_1061198	train
nist_1061211	train
nist_1061227	train
nist_1061238	train
nist_1061251	val
nist_1061252	train
nist_1061267	train
nist_1061283	train
nist_1061302	train
nist_1061311	train
nist_1061314	train
nist_1061329	train
nist_1061344	train
nist_1061359	train
nist_1061365	train
nist_1061370	train
nist_1061415	train
nist_1061430	train
nist_1061457	train
nist_1061472	train
nist_1061487	train
nist_1061501	train
nist_1061516	train
nist_1061530	test
nist_1061542	test
nist_1061553	train
nist_1061596	test
nist_1061613	train
nist_1061628	train
nist_1061639	train
nist_1061654	train
nist_1061680	train
nist_1061710	train
nist_1061726	train
nist_1061742	train
nist_1061757	train
nist_1061761	train
nist_1061770	train
nist_1061801	train
nist_1061816	train
nist_1061828	train
nist_1061835	train
nist_1061851	train
nist_1061877	train
nist_1061892	val
nist_1061907	train
nist_1062009	train
nist_1062029	train
nist_1062050	train
nist_1062080	train
nist_1062104	train
nist_1062119	train
nist_1062134	train
nist_1062149	test
nist_1062163	test
nist_1062181	train
nist_1062196	train
nist_1062210	train
nist_1062238	train
nist_1062253	train
nist_1062259	train
nist_1062275	train
nist_1062284	train
nist_1062295	train
nist_1062310	train
nist_1062340	train
nist_1062355	train
nist_1062369	train
nist_1062386	train
nist_1062401	train
nist_1062413	train
nist_1062429	train
nist_1062444	val
nist_1062459	train
nist_1062484	train
nist_1062512	train
nist_1062565	train
nist_1062627	train
nist_1062644	train
nist_1062659	train
nist_1062674	train
nist_1062683	train
nist_1062715	train
nist_1062730	train
nist_1062746	train
nist_1062753	val
nist_1062769	train
nist_1062783	train
nist_1062798	train
nist_1062815	train
nist_1062827	train
nist_1062874	train
nist_1062889	train
nist_1062921	train
nist_1062936	test
nist_1062951	train
nist_1062967	train
nist_1062983	train
nist_1062999	train
nist_1063012	train
nist_1063017	train
nist_1063032	train
nist_1063038	train
nist_1063053	train
nist_1063084	train
nist_1063094	train
nist_1063110	train
nist_1063126	train
nist_1063168	train
nist_1063179	train
nist_1063246	train
nist_1063288	train
nist_1063301	train
nist_1063317	train
nist_1063362	train
nist_1063378	train
nist_1063426	train
nist_1063428	train
nist_1063438	train
nist_1063444	train
nist_1063465	train
nist_1063480	val
nist_1063488	train
nist_1063502	train
nist_1063517	train
nist_1063546	train
nist_1063575	train
nist_1063599	train
nist_1063619	train
nist_1063634	train
nist_1063640	train
nist_1063648	train
nist_1063657	train
nist_1063688	train
nist_1063719	train
nist_1063763	train
nist_1063785	train
nist_1063814	train
nist_1063820	train
nist_1063836	train
nist_1063852	train
nist_1063884	train
nist_1063899	train
nist_1064080	train
nist_1064112	train
nist_1064127	train
nist_1064140	train
nist_1064220	train
nist_1064249	train
nist_1064287	train
nist_1064300	train
nist_1064312	train
nist_1064330	train
nist_1064346	train
nist_1064361	train
nist_1064392	train
nist_1064403	train
nist_1064465	train
nist_1064477	train
nist_1064488	train
nist_1064489	train
nist_1064504	train
nist_1064517	train
nist_1064518	train
nist_1064527	train
nist_1064538	train
nist_1064548	train
nist_1064559	train
nist_1064575	train
nist_1064619	train
nist_1064634	train
nist_1064665	train
nist_1064672	train
nist_1064699	train
nist_1064715	val
nist_1064731	train
nist_1064747	train
nist_1064764	train
nist_1064779	train
nist_1064793	train
nist_1064827	train
nist_1064841	train
nist_1064855	train
nist_1064875	train
nist_1064891	train
nist_1064907	train
nist_1064923	train
nist_1064938	train
nist_1064954	train
nist_1064969	train
nist_1064987	train
nist_1065001	train
nist_1065017	train
nist_1065032	train
nist_1065047	train
nist_1065064	train
nist_1065069	train
nist_1065085	train
nist_1065086	train
nist_1065102	train
nist_1065115	train
nist_1065128	train
nist_1065144	train
nist_1065180	train
nist_1065195	train
nist_1065211	train
nist_1065227	train
nist_1065484	test
nist_1065486	train
nist_1065504	train
nist_1065511	train
nist_1065530	train
nist_1065548	train
nist_1065578	train
nist_1065610	train
nist_1065622	val
nist_1065677	train
nist_1065690	train
nist_1065695	train
nist_1065701	train
nist_1065717	train
nist_1065733	train
nist_1065772	train
nist_1065787	train
nist_1065818	train
nist_1065853	train
nist_1065864	train
nist_1065873	train
nist_1065889	test
nist_1065932	train
nist_1066023	train
nist_1066054	train
nist_1066070	train
nist_1066086	train
nist_1066102	train
nist_1066117	train
nist_1066133	train
nist_1066149	train
nist_1066165	train
nist_1066242	train
nist_1066251	train
nist_1066292	train
nist_1066308	train
nist_1066324	train
nist_1066407	val
nist_1066424	train
nist_1066431	train
nist_1066433	train
nist_1066455	val
nist_1066471	train
nist_1066487	train
nist_1066503	train
nist_1066519	train
nist_1066607	val
nist_1066715	train
nist_1066804	train
nist_1066865	train
nist_1066878	train
nist_1066888	train
nist_1066897	train
nist_1066901	train
nist_1066925	train
nist_1066940	train
nist_1066955	train
nist_1066971	train
nist_1066984	train
nist_1066994	train
nist_1067006	train
nist_1067008	train
nist_1067009	train
nist_1067022	val
nist_1067037	train
nist_1067066	train
nist_1067095	train
nist_1067125	train
nist_1067140	train
nist_1067155	train
nist_1067171	train
nist_1067195	train
nist_1067202	train
nist_1067217	train
nist_1067232	train
nist_1067238	train
nist_1067253	train
nist_1067284	train
nist_1067299	train
nist_1067328	train
nist_1067330	train
nist_1067334	train
nist_1067362	train
nist_1067377	train
nist_1067406	train
nist_1067418	train
nist_1067433	train
nist_1067434	train
nist_1067463	train
nist_1067465	val
nist_1067480	train
nist_1067492	train
nist_1067507	train
nist_1067522	train
nist_1067595	train
nist_1067631	train
nist_1067646	train
nist_1067676	train
nist_1067720	train
nist_1067733	train
nist_1067738	train
nist_1067782	train
nist_1067802	train
nist_1067862	train
nist_1067891	train
nist_1067942	train
nist_1067971	train
nist_1068002	train
nist_1068046	train
nist_1068074	train
nist_1068084	train
nist_1068095	train
nist_1068110	train
nist_1068125	train
nist_1068162	train
nist_1068171	test
nist_1068186	train
nist_1068190	train
nist_1068195	train
nist_1068201	train
nist_1068215	train
nist_1068230	train
nist_1068246	train
nist_1068260	train
nist_1068274	train
nist_1068288	train
nist_1068344	train
nist_1068353	train
nist_1068368	train
nist_1068383	train
nist_1068398	train
nist_1068413	train
nist_1068428	train
nist_1068443	train
nist_1068458	train
nist_1068467	train
nist_1068479	train
nist_1068494	train
nist_1068509	train
nist_1068539	train
nist_1068548	train
nist_1068559	train
nist_1068570	train
nist_1068581	train
nist_1068592	train
nist_1068603	train
nist_1068614	train
nist_1068624	train
nist_1068630	train
nist_1068641	train
nist_1068652	train
nist_1068663	train
nist_1068672	train
nist_1068683	train
nist_1068687	train
nist_1068704	train
nist_1068723	train
nist_1068733	train
nist_1068743	train
nist_1068754	train
nist_1068756	train
nist_1068767	train
nist_1068771	train
nist_1068791	train
nist_1068798	train
nist_1068802	train
nist_1068824	train
nist_1068832	train
nist_1068845	train
nist_1068864	train
nist_1068870	train
nist_1068889	train
nist_1068893	train
nist_1068904	train
nist_1068911	train
nist_1068937	train
nist_1068948	train
nist_1068959	val
nist_1068970	train
nist_1068975	train
nist_1068992	train
nist_1069002	train
nist_1069006	train
nist_1069027	train
nist_1069045	train
nist_1069049	train
nist_1069079	test
nist_1069082	train
nist_1069112	train
nist_1069117	train
nist_1069118	train
nist_1069119	train
nist_1069127	train
nist_1069138	train
nist_1069160	train
nist_1069169	train
nist_1069190	train
nist_1069195	train
nist_1069203	train
nist_1069220	train
nist_1069221	train
nist_1069229	train
nist_1069246	val
nist_1069261	train
nist_1069269	train
nist_1069277	train
nist_1069296	train
nist_1069326	train
nist_1069334	train
nist_1069352	train
nist_1069359	train
nist_1069375	train
nist_1069379	train
nist_1069389	train
nist_1069413	train
nist_1069417	train
nist_1069440	train
nist_1069504	train
nist_1069512	train
nist_1069524	train
nist_1069541	train
nist_1069549	train
nist_1069558	train
nist_1069574	train
nist_1069582	train
nist_1069594	train
nist_1069595	train
nist_1069604	train
nist_1069612	train
nist_1069621	train
nist_1069636	train
nist_1069644	train
nist_1069667	train
nist_1069675	train
nist_1069683	train
nist_1069698	train
nist_1069720	test
nist_1069733	test
nist_1069751	train
nist_1069757	train
nist_1069769	train
nist_1069772	train
nist_1069775	train
nist_1069779	train
nist_1069790	train
nist_1069825	train
nist_1069826	train
nist_1069839	train
nist_1069857	train
nist_1069862	train
nist_1069889	train
nist_1069890	train
nist_1069895	train
nist_1069917	train
nist_1069923	train
nist_1069943	train
nist_1069957	train
nist_1070014	train
nist_1070015	train
nist_1070019	train
nist_1070036	train
nist_1070042	train
nist_1070050	train
nist_1070082	train
nist_1070087	train
nist_1070090	train
nist_1070102	train
nist_1070110	train
nist_1070122	train
nist_1070152	train
nist_1070165	train
nist_1070200	test
nist_1070216	train
nist_1070241	train
nist_1070265	train
nist_1070292	train
nist_1070339	train
nist_1070360	train
nist_1070412	train
nist_1070447	train
nist_1070456	train
nist_1070466	train
nist_1070471	train
nist_1070490	train
nist_1070502	train
nist_1070510	train
nist_1070559	train
nist_1070568	train
nist_1070628	train
nist_1070656	val
nist_1070679	train
nist_1070690	train
nist_1070703	train
nist_1070714	train
nist_1070719	train
nist_1070740	train
nist_1070754	train
nist_1070762	train
nist_1070776	train
nist_1070788	train
nist_1070807	train
nist_1070834	train
nist_1070849	train
nist_1070870	train
nist_1070890	train
nist_1070913	train
nist_1070962	train
nist_1070976	train
nist_1070992	train
nist_1071006	train
nist_1071036	train
nist_1071042	train
nist_1071065	train
nist_1071083	train
nist_1071091	train
nist_1071112	train
nist_1071128	train
nist_1071129	train
nist_1071134	train
nist_1071145	train
nist_1071153	train
nist_1071158	train
nist_1071166	train
nist_1071171	train
nist_1071179	train
nist_1071182	test
nist_1071186	train
nist_1071195	train
nist_1071204	train
nist_1071217	train
nist_1071218	train
nist_1071234	train
nist_1071242	train
nist_1071253	train
nist_1071266	train
nist_1071276	train
nist_1071289	train
nist_1071305	train
nist_1071335	train
nist_1071340	train
nist_1071359	train
nist_1071378	train
nist_1071398	train
nist_1071400	val
nist_1071415	test
nist_1071419	train
nist_1071435	train
nist_1071436	train
nist_1071449	train
nist_1071460	train
nist_1071467	train
nist_1071471	train
nist_1071485	train
nist_1071512	train
nist_1071528	train
nist_1071544	train
nist_1071556	train
nist_1071579	train
nist_1071587	train
nist_1071599	train
nist_1071607	train
nist_1071618	val
nist_1071625	val
nist_1071644	train
nist_1071660	train
nist_1071668	train
nist_1071688	train
nist_1071718	train
nist_1071727	train
nist_1071758	train
nist_1071762	train
nist_1071782	train
nist_1071794	train
nist_1071797	train
nist_1071805	train
nist_1071829	train
nist_1071849	train
nist_1071861	train
nist_1071869	train
nist_1071876	train
nist_1071892	train
nist_1071904	train
nist_1071912	train
nist_1071936	train
nist_1071952	train
nist_1071977	train
nist_1071986	train
nist_1072001	train
nist_1072009	train
nist_1072023	train
nist_1072047	train
nist_1072074	train
nist_1072096	train
nist_1072121	train
nist_1072148	train
nist_1072180	train
nist_1072212	train
nist_1072239	train
nist_1072246	train
nist_1072261	train
nist_1072288	train
nist_1072301	train
nist_1072309	train
nist_1072327	test
nist_1072400	train
nist_1072415	train
nist_1072429	train
nist_1072445	train
nist_1072449	train
nist_1072478	train
nist_1072506	train
nist_1072532	train
nist_1072548	train
nist_1072564	val
nist_1072580	val
nist_1072606	train
nist_1072638	train
nist_1072659	train
nist_1072668	train
nist_1072679	val
nist_1072694	train
nist_1072710	train
nist_1072726	train
nist_1072744	train
nist_1072756	train
nist_1072767	train
nist_1072783	train
nist_1072798	train
nist_1072828	val
nist_1072844	train
nist_1072859	train
nist_1072868	train
nist_1072884	train
nist_1072897	train
nist_1072907	val
nist_1072922	train
nist_1072934	train
nist_1072950	train
nist_1072966	train
nist_1072976	train
nist_1072991	train
nist_1073001	train
nist_1073017	train
nist_1073033	train
nist_1073049	train
nist_1073066	train
nist_1073082	train
nist_1073097	train
nist_1073113	train
nist_1073129	train
nist_1073149	train
nist_1073160	train
nist_1073174	train
nist_1073190	train
nist_1073206	train
nist_1073237	val
nist_1073252	train
nist_1073284	train
nist_1073316	train
nist_1073341	train
nist_1073357	train
nist_1073405	train
nist_1073421	train
nist_1073474	train
nist_1073490	train
nist_1073499	train
nist_1073515	train
nist_1073531	train
nist_1073532	train
nist_1073549	train
nist_1073564	train
nist_1073580	train
nist_1073595	train
nist_1073610	train
nist_1073612	train
nist_1073621	train
nist_1073637	train
nist_1073647	train
nist_1073663	train
nist_1073677	train
nist_1073692	train
nist_1073708	train
nist_1073724	train
nist_1073730	train
nist_1073735	train
nist_1073751	train
nist_1073767	train
nist_1073783	train
nist_1073801	train
nist_1073815	train
nist_1073831	train
nist_1073848	train
nist_1073863	train
nist_1073879	train
nist_1073895	train
nist_1073911	train
nist_1073927	train
nist_1073980	train
nist_1073989	train
nist_1074005	train
nist_1074036	train
nist_1074051	train
nist_1074083	train
nist_1074099	train
nist_1074114	train
nist_1074129	train
nist_1074137	train
nist_1074153	train
nist_1074169	train
nist_1074194	train
nist_1074209	train
nist_1074225	train
nist_1074267	val
nist_1074304	val
nist_1074320	train
nist_1074336	train
nist_1074352	train
nist_1074400	train
nist_1074485	train
nist_1074501	train
nist_1074520	train
nist_1074532	train
nist_1074548	train
nist_1074552	train
nist_1074567	train
nist_1074593	train
nist_1074608	train
nist_1074623	train
nist_1074639	train
nist_1074655	train
nist_1074668	train
nist_1074684	train
nist_1074693	val
nist_1074708	train
nist_1074739	train
nist_1074754	train
nist_1074769	train
nist_1074799	train
nist_1074814	train
nist_1074825	train
nist_1074857	train
nist_1074863	val
nist_1074879	train
nist_1074895	train
nist_1074899	train
nist_1074914	train
nist_1074930	train
nist_1074946	train
nist_1074962	train
nist_1074978	val
nist_1074994	train
nist_1075010	train
nist_1075026	train
nist_1075042	train
nist_1075058	train
nist_1075090	train
nist_1075106	train
nist_1075121	train
nist_1075135	train
nist_1075151	train
nist_1075155	train
nist_1075203	train
nist_1075219	train
nist_1075228	train
nist_1075244	train
nist_1075292	train
nist_1075313	val
nist_1075339	train
nist_1075355	train
nist_1075359	train
nist_1075391	val
nist_1075407	val
nist_1075423	train
nist_1075439	train
nist_1075469	train
nist_1075476	train
nist_1075492	train
nist_1075524	train
nist_1075574	val
nist_1075589	train
nist_1075621	val
nist_1075637	train
nist_1075653	val
nist_1075669	train
nist_1075685	train
nist_1075701	train
nist_1075717	train
nist_1075721	train
nist_1075734	train
nist_1075750	train
nist_1075764	train
nist_1075780	train
nist_1075796	train
nist_1075812	train
nist_1075823	train
nist_1075839	train
nist_1075850	train
nist_1075866	train
nist_1075893	train
nist_1075909	train
nist_1075922	train
nist_1075937	train
nist_1075951	train
nist_1075966	train
nist_1075982	train
nist_1075994	train
nist_1076011	train
nist_1076027	train
nist_1076043	train
nist_1076059	train
nist_1076075	train
nist_1076083	train
nist_1076092	train
nist_1076111	train
nist_1076118	train
nist_1076135	train
nist_1076143	train
nist_1076164	train
nist_1076170	train
nist_1076187	train
nist_1076199	train
nist_1076204	train
nist_1076218	train
nist_1076223	train
nist_1076224	train
nist_1076225	train
nist_1076226	train
nist_1076227	train
nist_1076237	train
nist_1076252	train
nist_1076274	train
nist_1076275	train
nist_1076291	test
nist_1076333	train
nist_1076368	train
nist_1076375	train
nist_1076390	train
nist_1076408	train
nist_1076432	train
nist_1076445	train
nist_1076473	train
nist_1076487	train
nist_1076515	train
nist_1076529	train
nist_1076545	train
nist_1076561	val
nist_1076574	val
nist_1076575	train
nist_1076576	train
nist_1076583	train
nist_1076604	train
nist_1076608	test
nist_1076627	train
nist_1076639	train
nist_1076652	train
nist_1076657	train
nist_1076658	train
nist_1076671	train
nist_1076673	train
nist_1076699	train
nist_1076741	train
nist_1076743	train
nist_1076759	train
nist_1076764	train
nist_1076769	train
nist_1076776	train
nist_1076791	train
nist_1076799	train
nist_1076800	train
nist_1076810	train
nist_1076817	test
nist_1076822	train
nist_1076838	train
nist_1076848	train
nist_1076857	train
nist_1076860	train
nist_1076870	train
nist_1076886	train
nist_1076944	train
nist_1076960	train
nist_1077013	train
nist_1077024	train
nist_1077040	train
nist_1077044	train
nist_1077058	train
nist_1077069	train
nist_1077085	train
nist_1077099	train
nist_1077119	train
nist_1077131	train
nist_1077144	train
nist_1077160	train
nist_1089767	test
nist_1089795	test
nist_1089809	train
nist_1089824	train
nist_1089827	train
nist_1089835	train
nist_1089840	train
nist_1089843	train
nist_1089848	train
nist_1089852	train
nist_1089860	train
nist_1089865	train
nist_1089870	train
nist_1089874	train
nist_1089892	train
nist_1089895	train
nist_1089900	train
nist_1089912	train
nist_1089917	train
nist_1089920	train
nist_1089924	test
nist_1089927	train
nist_1089949	train
nist_1089952	test
nist_1089955	train
nist_1089959	train
nist_1089963	test
nist_1089965	train
nist_1089969	train
nist_1089973	train
nist_1089987	train
nist_1089999	train
nist_1090005	train
nist_1090009	train
nist_1090018	test
nist_1090022	train
nist_1090027	train
nist_1090029	train
nist_1090034	train
nist_1090039	train
nist_1090043	train
nist_1090047	train
nist_1090051	train
nist_1090055	train
nist_1090060	train
nist_1090065	train
nist_1090069	train
nist_1090072	train
nist_1090076	train
nist_1090091	train
nist_1090093	train
nist_1090098	train
nist_1090103	train
nist_1090108	train
nist_1090113	train
nist_1090118	train
nist_1090123	train
nist_1090128	train
nist_1090141	train
nist_1090148	train
nist_1090155	train
nist_1090158	train
nist_1090162	train
nist_1090170	train
nist_1090182	train
nist_1090186	train
nist_1090189	train
nist_1090193	train
nist_1090202	train
nist_1090207	train
nist_1090211	train
nist_1090214	train
nist_1090217	train
nist_1090222	train
nist_1090227	train
nist_1090230	train
nist_1090235	train
nist_1090239	train
nist_1090242	train
nist_1090245	train
nist_1090249	train
nist_1090253	train
nist_1090255	train
nist_1090268	train
nist_1090275	train
nist_1090279	train
nist_1090284	train
nist_1090289	train
nist_1090294	train
nist_1090299	train
nist_1090303	train
nist_1090308	train
nist_1090318	val
nist_1090327	train
nist_1090352	train
nist_1090368	train
nist_1090369	train
nist_1090385	train
nist_1090398	train
nist_1090422	train
nist_1090437	train
nist_1090451	train
nist_1090467	train
nist_1090474	train
nist_1090505	train
nist_1090526	train
nist_1090534	train
nist_1090544	train
nist_1090576	train
nist_1090589	train
nist_1090599	train
nist_1090625	train
nist_1090629	train
nist_1090632	train
nist_1090636	train
nist_1090645	train
nist_1090649	train
nist_1090654	train
nist_1090663	train
nist_1090667	train
nist_1090670	train
nist_1090675	train
nist_1090680	train
nist_1090685	train
nist_1090698	train
nist_1090703	train
nist_1090707	train
nist_1090720	train
nist_1090724	train
nist_1090729	train
nist_1090732	train
nist_1090736	train
nist_1090739	train
nist_1090743	train
nist_1090747	train
nist_1090751	train
nist_1090754	train
nist_1090758	train
nist_1090762	train
nist_1090766	train
nist_1090779	train
nist_1090794	train
nist_1090804	train
nist_1090807	train
nist_1090810	train
nist_1090814	train
nist_1090826	train
nist_1090830	train
nist_1090839	train
nist_1090843	train
nist_1090847	train
nist_1090848	train
nist_1090852	train
nist_1090857	train
nist_1090862	train
nist_1090866	train
nist_1090870	train
nist_1090875	train
nist_1090883	train
nist_1090896	train
nist_1090901	train
nist_1090904	train
nist_1090908	train
nist_1090912	train
nist_1090917	test
nist_1090921	train
nist_1090925	train
nist_1090929	train
nist_1090933	train
nist_1090938	train
nist_1090943	train
nist_1090947	train
nist_1090951	train
nist_1090956	train
nist_1090959	train
nist_1090963	train
nist_1090967	train
nist_1090971	train
nist_1090975	train
nist_1090980	train
nist_1090984	train
nist_1090989	train
nist_1090998	train
nist_1091002	train
nist_1091018	train
nist_1091023	train
nist_1091028	train
nist_1091032	train
nist_1091037	train
nist_1091042	train
nist_1091045	train
nist_1091049	train
nist_1091054	train
nist_1091058	train
nist_1091062	train
nist_1091068	train
nist_1091077	train
nist_1091081	train
nist_1091086	train
nist_1091090	train
nist_1091094	train
nist_1091098	train
nist_1091103	train
